transaction_id,order_date,customer_id,acquisition_channel,gender,age,product_category,quantity,price_per_unit,total_amount
1,2023-04-13,CUST0001,organic,Male,36,Electronics,2,158,316
2,2023-04-20,CUST0001,organic,Male,36,Electronics,1,97,97
3,2023-09-28,CUST0002,paid_search,Female,23,Electronics,2,263,526
4,2023-10-19,CUST0002,paid_search,Female,23,Electronics,1,177,177
5,2023-04-17,CUST0003,social,Male,46,Clothing,1,89,89
6,2023-04-22,CUST0003,social,Male,46,Clothing,2,83,166
7,2023-03-13,CUST0004,organic,Male,28,Clothing,3,85,255
8,2023-03-20,CUST0004,organic,Male,28,Clothing,3,23,69
9,2023-07-08,CUST0005,paid_search,Male,33,Electronics,1,132,132
10,2023-08-07,CUST0005,paid_search,Male,33,Beauty,1,37,37
11,2023-01-21,CUST0006,email,Male,47,Electronics,4,271,1084
12,2023-01-26,CUST0006,email,Male,47,Electronics,2,343,686
13,2023-04-13,CUST0007,organic,Male,42,Electronics,2,244,488
14,2023-04-18,CUST0007,organic,Male,42,Clothing,4,66,264
15,2023-05-02,CUST0008,social,Female,57,Beauty,2,34,68
16,2023-05-16,CUST0008,social,Female,57,Beauty,2,76,152
17,2023-05-19,CUST0008,social,Female,57,Electronics,1,295,295
18,2023-08-03,CUST0009,paid_search,Female,28,Clothing,4,119,476
19,2023-08-06,CUST0009,paid_search,Female,28,Beauty,2,49,98
20,2023-08-20,CUST0009,paid_search,Female,28,Clothing,3,56,168
21,2023-11-27,CUST0010,paid_search,Female,24,Beauty,3,78,234
22,2023-11-30,CUST0010,paid_search,Female,24,Beauty,1,71,71
23,2023-03-29,CUST0011,social,Male,43,Clothing,2,60,120
24,2023-04-12,CUST0011,social,Male,43,Beauty,4,51,204
25,2023-04-10,CUST0012,organic,Female,39,Beauty,3,42,126
26,2023-04-20,CUST0012,organic,Female,39,Beauty,3,76,228
27,2023-05-11,CUST0012,organic,Female,39,Electronics,2,346,692
28,2023-06-01,CUST0013,paid_search,Female,42,Clothing,2,82,164
29,2023-06-04,CUST0013,paid_search,Female,42,Electronics,4,327,1308
30,2023-06-09,CUST0013,paid_search,Female,42,Electronics,2,145,290
31,2023-05-11,CUST0014,social,Male,36,Clothing,3,74,222
32,2023-05-25,CUST0014,social,Male,36,Electronics,3,366,1098
33,2023-05-30,CUST0015,organic,Female,48,Electronics,2,81,162
34,2023-06-04,CUST0015,organic,Female,48,Clothing,3,23,69
35,2023-11-05,CUST0016,paid_search,Male,43,Clothing,1,64,64
36,2023-09-15,CUST0017,organic,Male,59,Clothing,4,39,156
37,2023-10-06,CUST0017,organic,Male,59,Electronics,3,248,744
38,2023-12-10,CUST0018,paid_search,Female,58,Electronics,1,237,237
39,2023-12-15,CUST0018,paid_search,Female,58,Clothing,1,45,45
40,2023-10-21,CUST0019,email,Male,53,Beauty,1,32,32
41,2023-10-26,CUST0019,email,Male,53,Clothing,4,21,84
42,2023-07-11,CUST0020,social,Female,40,Electronics,2,127,254
43,2023-07-14,CUST0020,social,Female,40,Beauty,2,53,106
44,2023-10-04,CUST0021,paid_search,Male,30,Beauty,3,35,105
45,2023-10-14,CUST0021,paid_search,Male,30,Clothing,3,102,306
46,2023-11-04,CUST0021,paid_search,Male,30,Beauty,2,14,28
47,2023-11-09,CUST0021,paid_search,Male,30,Beauty,1,79,79
48,2023-06-10,CUST0022,social,Female,42,Electronics,3,321,963
49,2023-11-10,CUST0023,social,Female,19,Electronics,3,259,777
50,2023-11-17,CUST0023,social,Female,19,Clothing,2,44,88
51,2023-11-20,CUST0023,social,Female,19,Electronics,3,267,801
52,2023-01-22,CUST0024,organic,Female,19,Electronics,2,252,504
53,2023-01-25,CUST0024,organic,Female,19,Beauty,1,27,27
54,2023-02-04,CUST0024,organic,Female,19,Electronics,2,325,650
55,2023-09-10,CUST0025,organic,Male,33,Electronics,4,179,716
56,2023-09-13,CUST0025,organic,Male,33,Clothing,2,42,84
57,2023-09-23,CUST0025,organic,Male,33,Clothing,4,32,128
58,2023-09-30,CUST0025,organic,Male,33,Clothing,1,36,36
59,2023-10-10,CUST0025,organic,Male,33,Clothing,1,77,77
60,2023-08-24,CUST0026,organic,Male,26,Electronics,2,76,152
61,2023-09-03,CUST0026,organic,Male,26,Beauty,1,47,47
62,2023-09-06,CUST0026,organic,Male,26,Electronics,2,191,382
63,2023-12-11,CUST0027,paid_search,Male,45,Electronics,4,374,1496
64,2023-12-14,CUST0027,paid_search,Male,45,Electronics,1,373,373
65,2023-02-18,CUST0028,paid_search,Male,30,Clothing,3,82,246
66,2023-02-23,CUST0028,paid_search,Male,30,Clothing,1,108,108
67,2023-02-28,CUST0029,paid_search,Male,52,Clothing,1,23,23
68,2023-03-05,CUST0029,paid_search,Male,52,Electronics,2,115,230
69,2023-03-26,CUST0029,paid_search,Male,52,Clothing,3,87,261
70,2023-06-19,CUST0030,social,Female,58,Clothing,4,36,144
71,2023-06-24,CUST0030,social,Female,58,Electronics,4,55,220
72,2023-07-15,CUST0030,social,Female,58,Beauty,2,48,96
73,2023-08-14,CUST0030,social,Female,58,Electronics,1,154,154
74,2023-07-07,CUST0031,organic,Female,30,Beauty,2,63,126
75,2023-07-12,CUST0031,organic,Female,30,Electronics,4,131,524
76,2023-09-28,CUST0032,social,Female,48,Electronics,2,370,740
77,2023-07-09,CUST0033,paid_search,Male,38,Electronics,3,334,1002
78,2023-07-19,CUST0033,paid_search,Male,38,Beauty,1,72,72
79,2023-07-29,CUST0033,paid_search,Male,38,Clothing,4,85,340
80,2023-08-08,CUST0033,paid_search,Male,38,Clothing,4,119,476
81,2023-06-24,CUST0034,social,Male,49,Clothing,1,36,36
82,2023-06-29,CUST0034,social,Male,49,Electronics,3,296,888
83,2023-07-02,CUST0034,social,Male,49,Beauty,2,77,154
84,2023-07-09,CUST0034,social,Male,49,Clothing,4,53,212
85,2023-02-20,CUST0035,organic,Male,51,Clothing,1,42,42
86,2023-02-27,CUST0035,organic,Male,51,Beauty,2,25,50
87,2023-03-02,CUST0035,organic,Male,51,Electronics,2,287,574
88,2023-02-24,CUST0036,organic,Female,25,Electronics,4,125,500
89,2023-03-06,CUST0036,organic,Female,25,Beauty,3,28,84
90,2023-03-11,CUST0036,organic,Female,25,Electronics,4,84,336
91,2023-09-01,CUST0037,organic,Female,58,Electronics,3,373,1119
92,2023-09-08,CUST0037,organic,Female,58,Clothing,1,26,26
93,2023-11-16,CUST0038,paid_search,Female,19,Clothing,1,44,44
94,2023-11-26,CUST0038,paid_search,Female,19,Electronics,1,299,299
95,2023-05-11,CUST0039,paid_search,Female,55,Electronics,3,90,270
96,2023-06-01,CUST0039,paid_search,Female,55,Beauty,1,71,71
97,2023-06-08,CUST0039,paid_search,Female,55,Beauty,1,23,23
98,2023-11-03,CUST0040,organic,Female,49,Beauty,1,63,63
99,2023-11-24,CUST0040,organic,Female,49,Clothing,2,107,214
100,2023-05-15,CUST0041,organic,Male,57,Beauty,3,57,171
101,2023-05-20,CUST0041,organic,Male,57,Electronics,3,360,1080
102,2023-05-30,CUST0041,organic,Male,57,Clothing,4,102,408
103,2023-06-04,CUST0041,organic,Male,57,Electronics,4,288,1152
104,2023-06-25,CUST0041,organic,Male,57,Clothing,1,20,20
105,2023-01-21,CUST0042,social,Male,45,Clothing,3,78,234
106,2023-11-25,CUST0043,organic,Female,54,Beauty,1,43,43
107,2023-12-16,CUST0043,organic,Female,54,Electronics,1,351,351
108,2023-12-26,CUST0043,organic,Female,54,Clothing,3,85,255
109,2023-06-16,CUST0044,organic,Male,58,Electronics,3,148,444
110,2023-06-19,CUST0044,organic,Male,58,Beauty,4,66,264
111,2023-06-29,CUST0044,organic,Male,58,Electronics,3,71,213
112,2023-10-01,CUST0045,organic,Male,18,Clothing,4,27,108
113,2023-10-04,CUST0045,organic,Male,18,Clothing,4,84,336
114,2023-10-14,CUST0045,organic,Male,18,Clothing,4,90,360
115,2023-10-19,CUST0045,organic,Male,18,Beauty,1,38,38
116,2023-03-30,CUST0046,organic,Female,58,Electronics,1,105,105
117,2023-11-12,CUST0047,social,Female,27,Electronics,2,261,522
118,2023-01-14,CUST0048,social,Female,21,Electronics,2,249,498
119,2023-08-30,CUST0049,social,Female,52,Beauty,3,59,177
120,2023-09-06,CUST0049,social,Female,52,Electronics,3,202,606
121,2023-10-06,CUST0049,social,Female,52,Electronics,1,93,93
122,2023-09-22,CUST0050,organic,Female,27,Clothing,3,59,177
123,2023-09-27,CUST0050,organic,Female,27,Clothing,3,88,264
124,2023-10-04,CUST0050,organic,Female,27,Beauty,1,52,52
125,2023-12-12,CUST0051,organic,Male,28,Beauty,4,64,256
126,2023-02-22,CUST0052,organic,Male,31,Beauty,4,77,308
127,2023-03-24,CUST0052,organic,Male,31,Beauty,3,78,234
128,2023-12-06,CUST0053,paid_search,Female,55,Beauty,2,50,100
129,2023-12-16,CUST0053,paid_search,Female,55,Electronics,2,55,110
130,2023-12-21,CUST0053,paid_search,Female,55,Beauty,3,62,186
131,2023-04-02,CUST0054,organic,Female,29,Electronics,1,234,234
132,2023-04-12,CUST0054,organic,Female,29,Clothing,3,35,105
133,2023-09-21,CUST0055,organic,Male,34,Clothing,4,119,476
134,2023-09-24,CUST0055,organic,Male,34,Beauty,2,43,86
135,2023-02-04,CUST0056,organic,Female,33,Clothing,4,100,400
136,2023-02-25,CUST0056,organic,Female,33,Beauty,3,29,87
137,2023-07-25,CUST0057,organic,Male,52,Clothing,4,75,300
138,2023-07-30,CUST0057,organic,Male,52,Clothing,3,72,216
139,2023-03-22,CUST0058,organic,Male,19,Clothing,1,23,23
140,2023-03-29,CUST0058,organic,Male,19,Clothing,2,55,110
141,2023-04-08,CUST0058,organic,Male,19,Clothing,1,54,54
142,2023-02-19,CUST0059,social,Female,28,Clothing,2,82,164
143,2023-01-02,CUST0060,social,Male,58,Beauty,2,30,60
144,2023-02-23,CUST0061,paid_search,Male,20,Clothing,4,115,460
145,2023-03-09,CUST0061,paid_search,Male,20,Clothing,1,60,60
146,2023-03-12,CUST0061,paid_search,Male,20,Clothing,2,106,212
147,2023-04-16,CUST0062,social,Male,46,Electronics,2,105,210
148,2023-04-21,CUST0062,social,Male,46,Electronics,3,191,573
149,2023-05-21,CUST0062,social,Male,46,Electronics,1,275,275
150,2023-09-17,CUST0063,organic,Female,35,Clothing,2,44,88
151,2023-09-24,CUST0063,organic,Female,35,Clothing,2,114,228
152,2023-11-06,CUST0064,organic,Male,37,Electronics,4,102,408
153,2023-11-11,CUST0064,organic,Male,37,Beauty,4,79,316
154,2023-11-21,CUST0064,organic,Male,37,Clothing,4,23,92
155,2023-12-21,CUST0064,organic,Male,37,Electronics,4,388,1552
156,2023-07-10,CUST0065,paid_search,Female,31,Clothing,3,48,144
157,2023-07-15,CUST0065,paid_search,Female,31,Clothing,1,101,101
158,2023-08-06,CUST0066,paid_search,Female,51,Electronics,3,380,1140
159,2023-08-13,CUST0066,paid_search,Female,51,Electronics,1,260,260
160,2023-08-18,CUST0066,paid_search,Female,51,Clothing,1,108,108
161,2023-08-25,CUST0066,paid_search,Female,51,Clothing,4,54,216
162,2023-08-28,CUST0066,paid_search,Female,51,Beauty,4,56,224
163,2023-02-13,CUST0067,organic,Male,48,Beauty,2,64,128
164,2023-02-27,CUST0067,organic,Male,48,Beauty,4,78,312
165,2023-06-11,CUST0068,paid_search,Female,57,Electronics,3,140,420
166,2023-06-18,CUST0068,paid_search,Female,57,Electronics,2,78,156
167,2023-07-21,CUST0069,paid_search,Male,59,Clothing,4,38,152
168,2023-07-26,CUST0069,paid_search,Male,59,Clothing,1,101,101
169,2023-08-02,CUST0069,paid_search,Male,59,Electronics,1,308,308
170,2023-08-07,CUST0069,paid_search,Male,59,Electronics,3,207,621
171,2023-08-21,CUST0069,paid_search,Male,59,Clothing,2,77,154
172,2023-09-27,CUST0070,paid_search,Female,35,Beauty,4,62,248
173,2023-10-04,CUST0070,paid_search,Female,35,Clothing,1,23,23
174,2023-10-31,CUST0071,paid_search,Female,47,Clothing,1,73,73
175,2023-11-10,CUST0071,paid_search,Female,47,Clothing,1,47,47
176,2023-09-28,CUST0072,paid_search,Female,42,Electronics,4,62,248
177,2023-10-05,CUST0072,paid_search,Female,42,Clothing,4,75,300
178,2023-08-03,CUST0073,social,Male,36,Clothing,1,67,67
179,2023-09-02,CUST0073,social,Male,36,Electronics,4,330,1320
180,2023-09-09,CUST0073,social,Male,36,Electronics,2,207,414
181,2023-09-19,CUST0073,social,Male,36,Electronics,4,308,1232
182,2023-09-09,CUST0074,social,Female,25,Clothing,3,48,144
183,2023-09-14,CUST0074,social,Female,25,Electronics,1,143,143
184,2023-09-17,CUST0074,social,Female,25,Electronics,3,70,210
185,2023-07-09,CUST0075,organic,Male,45,Clothing,3,110,330
186,2023-08-08,CUST0075,organic,Male,45,Beauty,4,74,296
187,2023-08-15,CUST0075,organic,Male,45,Electronics,1,161,161
188,2023-10-23,CUST0076,social,Male,25,Clothing,2,53,106
189,2023-11-02,CUST0076,social,Male,25,Beauty,4,77,308
190,2023-12-02,CUST0076,social,Male,25,Beauty,3,38,114
191,2023-08-01,CUST0077,organic,Female,48,Beauty,1,12,12
192,2023-08-08,CUST0077,organic,Female,48,Electronics,3,111,333
193,2023-09-07,CUST0077,organic,Female,48,Clothing,3,52,156
194,2023-09-14,CUST0077,organic,Female,48,Clothing,4,44,176
195,2023-09-24,CUST0077,organic,Female,48,Electronics,4,66,264
196,2023-10-08,CUST0077,organic,Female,48,Beauty,3,38,114
197,2023-07-27,CUST0078,paid_search,Male,20,Electronics,3,302,906
198,2023-08-03,CUST0078,paid_search,Male,20,Beauty,1,14,14
199,2023-08-08,CUST0078,paid_search,Male,20,Clothing,2,113,226
200,2023-08-25,CUST0079,paid_search,Female,20,Electronics,4,362,1448
201,2023-09-01,CUST0079,paid_search,Female,20,Beauty,3,54,162
202,2023-09-11,CUST0079,paid_search,Female,20,Beauty,1,45,45
203,2023-09-18,CUST0079,paid_search,Female,20,Beauty,1,15,15
204,2023-12-04,CUST0080,organic,Male,39,Beauty,4,54,216
205,2023-12-11,CUST0080,organic,Male,39,Electronics,4,370,1480
206,2023-02-22,CUST0081,paid_search,Male,34,Electronics,1,73,73
207,2023-03-01,CUST0081,paid_search,Male,34,Beauty,1,70,70
208,2023-03-08,CUST0081,paid_search,Male,34,Electronics,3,335,1005
209,2023-10-07,CUST0082,social,Female,53,Clothing,1,51,51
210,2023-10-14,CUST0082,social,Female,53,Electronics,1,390,390
211,2023-10-19,CUST0082,social,Female,53,Electronics,3,271,813
212,2023-08-05,CUST0083,social,Male,34,Clothing,2,111,222
213,2023-09-09,CUST0084,organic,Female,31,Electronics,4,392,1568
214,2023-09-19,CUST0084,organic,Female,31,Clothing,3,78,234
215,2023-10-03,CUST0084,organic,Female,31,Electronics,2,239,478
216,2023-10-10,CUST0084,organic,Female,31,Beauty,3,40,120
217,2023-07-07,CUST0085,paid_search,Female,26,Electronics,2,299,598
218,2023-07-12,CUST0085,paid_search,Female,26,Beauty,2,19,38
219,2023-07-17,CUST0085,paid_search,Female,26,Clothing,2,102,204
220,2023-07-22,CUST0085,paid_search,Female,26,Beauty,3,38,114
221,2023-02-10,CUST0086,social,Female,47,Clothing,1,51,51
222,2023-02-15,CUST0086,social,Female,47,Clothing,1,64,64
223,2023-06-06,CUST0087,organic,Male,38,Beauty,1,27,27
224,2023-01-15,CUST0088,paid_search,Female,29,Beauty,3,61,183
225,2023-01-22,CUST0088,paid_search,Female,29,Clothing,4,81,324
226,2023-01-29,CUST0088,paid_search,Female,29,Beauty,1,52,52
227,2023-10-28,CUST0089,organic,Female,54,Electronics,4,292,1168
228,2023-11-11,CUST0089,organic,Female,54,Beauty,2,30,60
229,2023-03-06,CUST0090,organic,Female,49,Electronics,2,270,540
230,2023-03-27,CUST0090,organic,Female,49,Electronics,1,136,136
231,2023-04-26,CUST0090,organic,Female,49,Electronics,4,391,1564
232,2023-04-29,CUST0090,organic,Female,49,Clothing,1,115,115
233,2023-12-11,CUST0091,email,Female,28,Electronics,2,223,446
234,2023-12-25,CUST0091,email,Female,28,Electronics,3,162,486
235,2023-11-23,CUST0092,paid_search,Female,37,Clothing,4,94,376
236,2023-12-03,CUST0092,paid_search,Female,37,Clothing,3,49,147
237,2023-12-10,CUST0092,paid_search,Female,37,Clothing,3,78,234
238,2023-01-09,CUST0093,organic,Female,52,Beauty,3,47,141
239,2023-12-10,CUST0094,social,Female,28,Electronics,2,304,608
240,2023-12-13,CUST0094,social,Female,28,Beauty,2,41,82
241,2023-12-18,CUST0094,social,Female,28,Beauty,4,48,192
242,2023-12-25,CUST0094,social,Female,28,Electronics,1,282,282
243,2023-05-09,CUST0095,social,Male,25,Beauty,1,29,29
244,2023-05-19,CUST0095,social,Male,25,Clothing,2,101,202
245,2023-05-16,CUST0096,paid_search,Male,21,Clothing,2,104,208
246,2023-06-06,CUST0096,paid_search,Male,21,Electronics,4,211,844
247,2023-03-04,CUST0097,organic,Female,44,Electronics,2,60,120
248,2023-03-11,CUST0097,organic,Female,44,Beauty,3,52,156
249,2023-03-14,CUST0097,organic,Female,44,Electronics,2,57,114
250,2023-04-13,CUST0097,organic,Female,44,Clothing,3,91,273
251,2023-04-20,CUST0097,organic,Female,44,Electronics,3,242,726
252,2023-05-19,CUST0098,paid_search,Male,57,Electronics,3,308,924
253,2023-05-22,CUST0098,paid_search,Male,57,Clothing,1,63,63
254,2023-05-29,CUST0098,paid_search,Male,57,Electronics,4,353,1412
255,2023-03-22,CUST0099,social,Female,55,Beauty,2,25,50
256,2023-04-05,CUST0099,social,Female,55,Beauty,2,37,74
257,2023-06-12,CUST0100,paid_search,Male,47,Electronics,4,356,1424
258,2023-06-19,CUST0100,paid_search,Male,47,Clothing,1,44,44
259,2023-06-24,CUST0100,paid_search,Male,47,Clothing,2,45,90
260,2023-10-16,CUST0101,organic,Female,44,Electronics,2,383,766
261,2023-10-21,CUST0101,organic,Female,44,Beauty,4,22,88
262,2023-10-26,CUST0101,organic,Female,44,Clothing,1,57,57
263,2023-09-18,CUST0102,organic,Male,38,Clothing,4,33,132
264,2023-10-02,CUST0102,organic,Male,38,Beauty,1,22,22
265,2023-10-05,CUST0102,organic,Male,38,Beauty,1,15,15
266,2023-08-19,CUST0103,organic,Male,37,Electronics,2,170,340
267,2023-09-09,CUST0103,organic,Male,37,Clothing,2,56,112
268,2023-09-12,CUST0103,organic,Male,37,Clothing,1,72,72
269,2023-09-17,CUST0103,organic,Male,37,Clothing,2,97,194
270,2023-02-10,CUST0104,paid_search,Female,21,Electronics,4,339,1356
271,2023-02-15,CUST0104,paid_search,Female,21,Clothing,2,82,164
272,2023-01-28,CUST0105,paid_search,Female,28,Beauty,1,51,51
273,2023-02-07,CUST0105,paid_search,Female,28,Beauty,2,73,146
274,2023-05-15,CUST0106,organic,Female,30,Clothing,3,36,108
275,2023-05-22,CUST0106,organic,Female,30,Electronics,1,335,335
276,2023-05-25,CUST0106,organic,Female,30,Electronics,3,142,426
277,2023-07-20,CUST0107,social,Male,26,Beauty,3,55,165
278,2023-11-24,CUST0108,paid_search,Female,21,Beauty,3,45,135
279,2023-12-15,CUST0108,paid_search,Female,21,Clothing,2,39,78
280,2023-12-29,CUST0108,paid_search,Female,21,Clothing,4,100,400
281,2023-09-25,CUST0109,organic,Female,29,Beauty,4,34,136
282,2023-10-02,CUST0109,organic,Female,29,Electronics,3,143,429
283,2023-10-09,CUST0109,organic,Female,29,Clothing,1,76,76
284,2023-02-02,CUST0110,email,Female,26,Electronics,3,204,612
285,2023-03-04,CUST0110,email,Female,26,Beauty,2,54,108
286,2023-03-07,CUST0110,email,Female,26,Clothing,2,33,66
287,2023-03-12,CUST0110,email,Female,26,Beauty,2,57,114
288,2023-03-19,CUST0110,email,Female,26,Clothing,4,104,416
289,2023-04-09,CUST0110,email,Female,26,Beauty,4,24,96
290,2023-02-17,CUST0111,organic,Male,30,Electronics,2,356,712
291,2023-03-03,CUST0111,organic,Male,30,Clothing,2,30,60
292,2023-03-08,CUST0111,organic,Male,30,Electronics,4,380,1520
293,2023-03-03,CUST0112,organic,Female,43,Beauty,4,64,256
294,2023-03-17,CUST0112,organic,Female,43,Beauty,1,35,35
295,2023-08-04,CUST0113,email,Female,55,Clothing,4,89,356
296,2023-08-07,CUST0113,email,Female,55,Electronics,4,152,608
297,2023-10-20,CUST0114,paid_search,Female,59,Electronics,4,285,1140
298,2023-11-03,CUST0114,paid_search,Female,59,Electronics,1,392,392
299,2023-11-08,CUST0114,paid_search,Female,59,Beauty,1,54,54
300,2023-04-09,CUST0115,social,Male,30,Clothing,4,79,316
301,2023-04-23,CUST0115,social,Male,30,Clothing,1,90,90
302,2023-04-28,CUST0115,social,Male,30,Electronics,1,383,383
303,2023-06-21,CUST0116,email,Female,56,Clothing,1,100,100
304,2023-07-05,CUST0116,email,Female,56,Beauty,2,57,114
305,2023-07-12,CUST0116,email,Female,56,Electronics,3,147,441
306,2023-08-02,CUST0117,paid_search,Female,45,Electronics,3,138,414
307,2023-08-12,CUST0117,paid_search,Female,45,Beauty,4,79,316
308,2023-09-11,CUST0117,paid_search,Female,45,Electronics,1,203,203
309,2023-02-04,CUST0118,organic,Male,36,Electronics,2,344,688
310,2023-02-11,CUST0118,organic,Male,36,Clothing,2,46,92
311,2023-03-04,CUST0118,organic,Male,36,Clothing,4,50,200
312,2023-08-15,CUST0119,social,Male,41,Clothing,3,107,321
313,2023-04-11,CUST0120,social,Male,36,Electronics,3,375,1125
314,2023-05-02,CUST0120,social,Male,36,Electronics,3,335,1005
315,2023-05-07,CUST0120,social,Male,36,Clothing,3,62,186
316,2023-05-10,CUST0120,social,Male,36,Electronics,1,217,217
317,2023-05-24,CUST0120,social,Male,36,Clothing,1,106,106
318,2023-05-11,CUST0121,organic,Male,30,Beauty,2,51,102
319,2023-05-21,CUST0121,organic,Male,30,Clothing,3,22,66
320,2023-05-28,CUST0121,organic,Male,30,Beauty,2,30,60
321,2023-09-14,CUST0122,email,Male,30,Electronics,1,126,126
322,2023-09-19,CUST0122,email,Male,30,Electronics,1,299,299
323,2023-09-26,CUST0122,email,Male,30,Clothing,1,63,63
324,2023-01-05,CUST0123,organic,Female,45,Beauty,2,46,92
325,2023-01-10,CUST0123,organic,Female,45,Clothing,2,107,214
326,2023-01-13,CUST0123,organic,Female,45,Electronics,2,316,632
327,2023-02-03,CUST0123,organic,Female,45,Beauty,1,54,54
328,2023-02-06,CUST0123,organic,Female,45,Beauty,4,53,212
329,2023-08-06,CUST0124,paid_search,Female,19,Electronics,2,279,558
330,2023-08-13,CUST0124,paid_search,Female,19,Beauty,1,71,71
331,2023-09-12,CUST0125,organic,Female,27,Electronics,4,289,1156
332,2023-09-22,CUST0125,organic,Female,27,Clothing,2,80,160
333,2023-09-29,CUST0125,organic,Female,27,Electronics,2,61,122
334,2023-10-10,CUST0126,paid_search,Female,39,Clothing,2,28,56
335,2023-10-17,CUST0126,paid_search,Female,39,Clothing,3,93,279
336,2023-10-24,CUST0126,paid_search,Female,39,Beauty,3,11,33
337,2023-11-23,CUST0126,paid_search,Female,39,Electronics,4,92,368
338,2023-07-26,CUST0127,social,Male,30,Clothing,2,71,142
339,2023-07-29,CUST0127,social,Male,30,Beauty,3,40,120
340,2023-08-01,CUST0127,social,Male,30,Clothing,2,83,166
341,2023-01-15,CUST0128,social,Male,26,Beauty,3,53,159
342,2023-01-20,CUST0128,social,Male,26,Beauty,4,11,44
343,2023-12-12,CUST0129,social,Female,50,Beauty,3,41,123
344,2023-12-19,CUST0129,social,Female,50,Beauty,4,64,256
345,2023-02-11,CUST0130,social,Male,31,Clothing,2,106,212
346,2023-02-18,CUST0130,social,Male,31,Electronics,3,374,1122
347,2023-06-28,CUST0131,email,Male,37,Clothing,3,99,297
348,2023-03-04,CUST0132,organic,Male,32,Clothing,4,43,172
349,2023-03-07,CUST0132,organic,Male,32,Electronics,1,153,153
350,2023-03-17,CUST0132,organic,Male,32,Clothing,4,81,324
351,2023-08-19,CUST0133,organic,Male,49,Beauty,1,16,16
352,2023-09-18,CUST0133,organic,Male,49,Beauty,2,54,108
353,2023-08-29,CUST0134,paid_search,Female,50,Clothing,4,51,204
354,2023-09-28,CUST0134,paid_search,Female,50,Electronics,1,251,251
355,2023-10-12,CUST0134,paid_search,Female,50,Electronics,1,113,113
356,2023-02-21,CUST0135,email,Male,34,Beauty,4,16,64
357,2023-03-14,CUST0135,email,Male,34,Electronics,2,119,238
358,2023-04-04,CUST0135,email,Male,34,Clothing,1,94,94
359,2023-04-06,CUST0136,email,Male,41,Electronics,3,378,1134
360,2023-08-10,CUST0137,organic,Male,47,Electronics,2,235,470
361,2023-08-15,CUST0137,organic,Male,47,Beauty,3,64,192
362,2023-08-19,CUST0138,paid_search,Female,30,Clothing,2,65,130
363,2023-08-22,CUST0138,paid_search,Female,30,Clothing,1,45,45
364,2023-08-25,CUST0139,paid_search,Male,33,Beauty,4,18,72
365,2023-08-28,CUST0139,paid_search,Male,33,Beauty,3,24,72
366,2023-05-23,CUST0140,paid_search,Female,19,Beauty,3,25,75
